紹介した	紹介	紹介	introduced	introduced	introduce	17886
紹介した	紹介	紹介	introduced	introduced	introduce	15188
解説した	解説	解説	explained	explained	explain	13619
説明した	説明	説明	explained	explained	explain	12292
解説した	解説	解説	explained	explained	explain	11944
提案した	提案	提案	proposed	proposed	propose	11662
説明した	説明	説明	explained	explained	explain	9911
提案した	提案	提案	proposed	proposed	propose	9139
減少した	減少	減少	decreased	decreased	decrease	7184
適用した	適用	適用	applied	applied	apply	4974
研究した	研究	研究	studied	studied	study	4752
観測した	観測	観測	observed	observed	observe	4229
研究した	研究	研究	studied	studied	study	4222
改善した	改善	改善	improved	improved	improve	4143
減少した	減少	減少	decreased	decreased	decrease	3965
観測した	観測	観測	observed	observed	observe	3644
検討した	検討	検討	studied	studied	study	3395
導入した	導入	導入	introduced	introduced	introduce	3251
観察した	観察	観察	observed	observed	observe	3237
検討した	検討	検討	studied	studied	study	3014
適用した	適用	適用	applied	applied	apply	2818
施行した	施行	施行	performed	performed	perform	2676
診断した	診断	診断	diagnosed	diagnosed	diagnose	2648
形成した	形成	形成	formed	formed	form	2600
観察した	観察	観察	observed	observed	observe	2523
改善した	改善	改善	improved	improved	improve	2522
観察された	観察	観察	observed	observed	observe	2420
消失した	消失	消失	disappeared	disappeared	disappear	2299
施行した	施行	施行	performed	performed	perform	2164
作製した	作製	作製	fabricated	fabricated	fabricate	2146
検出した	検出	検出	detected	detected	detect	2107
構築した	構築	構築	constructed	constructed	construct	1979
調製した	調製	調製	prepared	prepared	prepare	1937
確立した	確立	確立	established	established	establish	1917
観測された	観測	観測	observed	observed	observe	1915
作製した	作製	作製	prepared	prepared	prepare	1910
低下した	低下	低下	lowered	lowered	lower	1866
低下した	低下	低下	decreased	decreased	decrease	1860
推定した	推定	推定	estimated	estimated	estimate	1857
導入した	導入	導入	introduced	introduced	introduce	1824
診断した	診断	診断	diagnosed	diagnosed	diagnose	1759
応用した	応用	応用	applied	applied	apply	1757
作成した	作成	作成	made	made	make	1682
対応する	対応	対応	corresponding	corresponding	correspond	1670
改善する	改善	改善	improve	improve	improve	1568
変化した	変化	変化	changed	changed	change	1549
検出された	検出	検出	detected	detected	detect	1549
考察した	考察	考察	considered	considered	consider	1543
検出した	検出	検出	detected	detected	detect	1521
存在する	存在	存在	exists	exists	exist	1459
推定した	推定	推定	estimated	estimated	estimate	1458
診断された	診断	診断	diagnosed	diagnosed	diagnose	1448
形成した	形成	形成	formed	formed	form	1447
発生した	発生	発生	generated	generated	generate	1436
抽出した	抽出	抽出	extracted	extracted	extract	1427
作製した	作製	作製	fabricated	fabricated	fabricate	1426
示唆された	示唆	示唆	suggested	suggested	suggest	1397
死亡した	死亡	死亡	died	died	die	1394
考察した	考察	考察	considered	considered	consider	1335
作成した	作成	作成	prepared	prepared	prepare	1331
減少した	減少	減少	reduced	reduced	reduce	1322
調製した	調製	調製	prepared	prepared	prepare	1310
消失した	消失	消失	disappeared	disappeared	disappear	1298
作製した	作製	作製	prepared	prepared	prepare	1272
示唆した	示唆	示唆	suggested	suggested	suggest	1266
設置した	設置	設置	installed	installed	instal	1263
応用した	応用	応用	applied	applied	apply	1184
確立した	確立	確立	established	established	establish	1179
構築した	構築	構築	constructed	constructed	construct	1174
達成した	達成	達成	achieved	achieved	achieve	1130
考慮して	考慮	考慮	considering	considering	consider	1125
死亡した	死亡	死亡	died	died	die	1104
作製した	作製	作製	produced	produced	produce	1100
存在した	存在	存在	existed	existed	exist	1045
示唆した	示唆	示唆	suggested	suggested	suggest	1029
低下した	低下	低下	decreased	decreased	decrease	1000
向上した	向上	向上	improved	improved	improve	995
作成した	作成	作成	made	made	make	881
達成した	達成	達成	achieved	achieved	achieve	878
解決する	解決	解決	solve	solve	solve	845
考慮した	考慮	考慮	considered	considered	consider	841
紹介した	紹介	紹介	explained	explained	explain	838
発生した	発生	発生	generated	generated	generate	831
低下した	低下	低下	lowered	lowered	lower	822
変化した	変化	変化	changed	changed	change	818
誘導した	誘導	誘導	induced	induced	induce	789
評価した	評価	評価	estimated	estimated	estimate	785
設定した	設定	設定	set	set	set	783
改良した	改良	改良	improved	improved	improve	778
紹介した	紹介	紹介	explained	explained	explain	778
作成した	作成	作成	prepared	prepared	prepare	777
紹介した	紹介	紹介	was introduced	introduced	introduce	775
紹介した	紹介	紹介	were introduced	introduced	introduce	775
施行した	施行	施行	was performed	performed	perform	773
施行した	施行	施行	were performed	performed	perform	773
実施した	実施	実施	performed	performed	perform	765
収集した	収集	収集	collected	collected	collect	756
検出する	検出	検出	detect	detect	detect	756
採取した	採取	採取	collected	collected	collect	736
上昇した	上昇	上昇	rose	rose	rise	724
実証した	実証	実証	demonstrated	demonstrated	demonstrate	723
減少した	減少	減少	reduced	reduced	reduce	723
達成する	達成	達成	achieve	achieve	achieve	689
設置した	設置	設置	installed	installed	instal	681
試験した	試験	試験	tested	tested	test	676
実証した	実証	実証	demonstrated	demonstrated	demonstrate	675
評価した	評価	評価	estimated	estimated	estimate	666
生成した	生成	生成	formed	formed	form	662
処理した	処理	処理	treated	treated	treat	655
判明した	判明	判明	proven	proven	prove	639
施行した	施行	施行	was performed	performed	perform	632
施行した	施行	施行	were performed	performed	perform	632
抽出した	抽出	抽出	extracted	extracted	extract	631
適用する	適用	適用	applying	applying	apply	628
向上した	向上	向上	improved	improved	improve	620
提案した	提案	提案	was proposed	proposed	propose	617
作製した	作製	作製	produced	produced	produce	612
説明する	説明	説明	explain	explain	explain	600
実施した	実施	実施	performed	performed	perform	598
生成した	生成	生成	produced	produced	produce	590
紹介した	紹介	紹介	was introduced	introduced	introduce	587
紹介した	紹介	紹介	were introduced	introduced	introduce	587
合併した	合併	合併	combined	combined	combine	585
利用する	利用	利用	utilizing	utilizing	utilize	581
導入する	導入	導入	introducing	introducing	introduce	576
検出する	検出	検出	detecting	detecting	detect	574
利用した	利用	利用	utilized	utilized	utilize	565
紹介した	紹介	紹介	was introduced	introduced	introduce	553
紹介した	紹介	紹介	were introduced	introduced	introduce	553
誘導した	誘導	誘導	induced	induced	induce	547
適用して	適用	適用	applying	applying	apply	546
製作した	製作	製作	fabricated	fabricated	fabricate	539
提案された	提案	提案	proposed	proposed	propose	533
試験した	試験	試験	tested	tested	test	530
予測した	予測	予測	predicted	predicted	predict	526
生成した	生成	生成	generated	generated	generate	513
維持する	維持	維持	maintain	maintain	maintain	510
改良した	改良	改良	improved	improved	improve	502
低下した	低下	低下	reduced	reduced	reduce	500
解説した	解説	解説	was explained	explained	explain	490
解説した	解説	解説	were explained	explained	explain	490
判明した	判明	判明	proven	proven	prove	489
入院した	入院	入院	hospitalized	hospitalized	hospitalize	484
発見した	発見	発見	discovered	discovered	discover	479
構築する	構築	構築	construct	construct	construct	479
改善する	改善	改善	improving	improving	improve	474
生成した	生成	生成	produced	produced	produce	473
概説した	概説	概説	reviewed	reviewed	review	469
最適化した	最適化	最適化	optimized	optimized	optimize	460
処理した	処理	処理	treated	treated	treat	457
生成した	生成	生成	formed	formed	form	454
整理した	整理	整理	arranged	arranged	arrange	450
考慮した	考慮	考慮	considered	considered	consider	440
紹介した	紹介	紹介	was introduced	introduced	introduce	432
紹介した	紹介	紹介	were introduced	introduced	introduce	432
経過した	経過	経過	passed	passed	pass	427
治療した	治療	治療	treated	treated	treat	426
誘導された	誘導	誘導	induced	induced	induce	423
印加した	印加	印加	applied	applied	apply	416
低減した	低減	低減	reduced	reduced	reduce	411
概説した	概説	概説	reviewed	reviewed	review	408
形成する	形成	形成	forming	forming	form	406
提案した	提案	提案	was proposed	proposed	propose	405
存在する	存在	存在	existing	existing	exist	403
参加した	参加	参加	participated	participated	participate	402
解説した	解説	解説	was explained	explained	explain	399
解説した	解説	解説	were explained	explained	explain	399
予測した	予測	予測	predicted	predicted	predict	390
入院した	入院	入院	hospitalized	hospitalized	hospitalize	388
採取した	採取	採取	collected	collected	collect	386
生成した	生成	生成	generated	generated	generate	386
促進した	促進	促進	promoted	promoted	promote	383
収集した	収集	収集	collected	collected	collect	377
継続した	継続	継続	continued	continued	continue	367
除去する	除去	除去	remove	remove	remove	359
概説した	概説	概説	explained	explained	explain	357
最適化した	最適化	最適化	optimized	optimized	optimize	354
設定した	設定	設定	set	set	set	353
存在した	存在	存在	existed	existed	exist	350
判断した	判断	判断	judged	judged	judge	350
展望した	展望	展望	viewed	viewed	view	345
調査した	調査	調査	surveyed	surveyed	survey	345
作成した	作成	作成	was made	made	make	343
概説した	概説	概説	explained	explained	explain	342
導入した	導入	導入	were introduced	introduced	introduce	339
導入した	導入	導入	was introduced	introduced	introduce	339
説明した	説明	説明	were explained	explained	explain	335
説明した	説明	説明	was explained	explained	explain	335
観察した	観察	観察	were observed	observed	observe	330
観察した	観察	観察	was observed	observed	observe	330
発見した	発見	発見	discovered	discovered	discover	329
安定した	安定	安定	stabilized	stabilized	stabilize	327
導入して	導入	導入	introducing	introducing	introduce	327
示唆された	示唆	示唆	was suggested	suggested	suggest	325
治療した	治療	治療	treated	treated	treat	323
判明した	判明	判明	was proven	proven	prove	322
製作した	製作	製作	fabricated	fabricated	fabricate	318
提示した	提示	提示	proposed	proposed	propose	315
合併した	合併	合併	combined	combined	combine	315
発見された	発見	発見	discovered	discovered	discover	315
適用する	適用	適用	apply	apply	apply	313
考慮する	考慮	考慮	consider	consider	consider	310
相当する	相当	相当	corresponding	corresponding	correspond	307
適用した	適用	適用	was applied	applied	apply	303
考察した	考察	考察	studied	studied	study	297
構築した	構築	構築	was constructed	constructed	construct	295
反映した	反映	反映	reflected	reflected	reflect	294
縮小した	縮小	縮小	reduced	reduced	reduce	294
印加した	印加	印加	applied	applied	apply	293
利用した	利用	利用	utilized	utilized	utilize	293
観測した	観測	観測	was observed	observed	observe	292
観測した	観測	観測	were observed	observed	observe	292
解明する	解明	解明	elucidate	elucidate	elucidate	290
展望した	展望	展望	viewed	viewed	view	289
利用する	利用	利用	utilize	utilize	utilize	287
発生する	発生	発生	arises	arises	arise	285
判明した	判明	判明	was proven	proven	prove	283
説明した	説明	説明	were explained	explained	explain	280
説明した	説明	説明	was explained	explained	explain	280
中止した	中止	中止	stopped	stopped	stop	276
反映して	反映	反映	reflect	reflect	reflect	276
短縮した	短縮	短縮	shortened	shortened	shorten	273
検出した	検出	検出	was detected	detected	detect	271
低減した	低減	低減	reduced	reduced	reduce	270
構築する	構築	構築	constructing	constructing	construct	268
低下した	低下	低下	reduced	reduced	reduce	268
設置された	設置	設置	installed	installed	instal	266
観察された	観察	観察	was observed	observed	observe	264
提示した	提示	提示	proposed	proposed	propose	263
提供する	提供	提供	offers	offers	offer	262
充填した	充填	充填	filled	filled	fill	260
説明した	説明	説明	was explained	explained	explain	258
説明した	説明	説明	were explained	explained	explain	258
解決した	解決	解決	solved	solved	solve	256
確立した	確立	確立	was established	established	establish	255
説明する	説明	説明	explains	explains	explain	253
切除した	切除	切除	resected	resected	resect	246
観察した	観察	観察	were observed	observed	observe	244
観察した	観察	観察	was observed	observed	observe	244
推進する	推進	推進	promote	promote	promote	243
製作した	製作	製作	manufactured	manufactured	manufacture	241
上昇した	上昇	上昇	rose	rose	rise	236
考察した	考察	考察	studied	studied	study	236
改良する	改良	改良	improve	improve	improve	236
反映する	反映	反映	reflects	reflects	reflect	235
提供する	提供	提供	offer	offer	offer	229
参加した	参加	参加	participated	participated	participate	226
誘導する	誘導	誘導	induce	induce	induce	224
製造した	製造	製造	produced	produced	produce	224
再現する	再現	再現	reproduce	reproduce	reproduce	223
観測した	観測	観測	was observed	observed	observe	221
観測した	観測	観測	were observed	observed	observe	221
除去する	除去	除去	removing	removing	remove	220
再現した	再現	再現	reproduced	reproduced	reproduce	218
検出された	検出	検出	was detected	detected	detect	212
検出された	検出	検出	were detected	detected	detect	212
調査した	調査	調査	studied	studied	study	211
最適化する	最適化	最適化	optimizing	optimizing	optimize	210
判断した	判断	判断	judged	judged	judge	209
調査した	調査	調査	surveyed	surveyed	survey	206
変化させる	変化	変化	changing	changing	change	206
抽出された	抽出	抽出	extracted	extracted	extract	203
構成する	構成	構成	constituting	constituting	constitute	201
解説する	解説	解説	explains	explains	explain	198
作成した	作成	作成	were prepared	prepared	prepare	195
作成した	作成	作成	was prepared	prepared	prepare	195
調整した	調整	調整	adjusted	adjusted	adjust	195
増強した	増強	増強	strengthened	strengthened	strengthen	195
展望した	展望	展望	reviewed	reviewed	review	194
製作した	製作	製作	produced	produced	produce	191
活用する	活用	活用	utilizing	utilizing	utilize	190
反映して	反映	反映	reflects	reflects	reflect	189
発生する	発生	発生	occurs	occurs	occur	189
軽快した	軽快	軽快	improved	improved	improve	188
配置した	配置	配置	arranged	arranged	arrange	187
充填した	充填	充填	filled	filled	fill	187
整理した	整理	整理	arranged	arranged	arrange	185
冷却した	冷却	冷却	cooled	cooled	cool	185
統合した	統合	統合	integrated	integrated	integrate	185
検討した	検討	検討	was studied	studied	study	182
検討した	検討	検討	were studied	studied	study	182
形成した	形成	形成	was formed	formed	form	180
変更する	変更	変更	changing	changing	change	179
表示した	表示	表示	displayed	displayed	display	177
経過した	経過	経過	passed	passed	pass	176
検出した	検出	検出	was detected	detected	detect	175
説明した	説明	説明	were explained	explained	explain	173
活用して	活用	活用	utilizing	utilizing	utilize	173
説明した	説明	説明	was explained	explained	explain	173
展望した	展望	展望	reviewed	reviewed	review	172
構築した	構築	構築	was constructed	constructed	construct	171
向上させる	向上	向上	improving	improving	improve	170
作製した	作製	作製	was produced	produced	produce	170
建設された	建設	建設	constructed	constructed	construct	169
導入した	導入	導入	was introduced	introduced	introduce	169
導入した	導入	導入	were introduced	introduced	introduce	169
変化する	変化	変化	changing	changing	change	168
変化させた	変化	変化	changed	changed	change	168
選択する	選択	選択	choose	choose	choose	165
調査した	調査	調査	studied	studied	study	165
確立した	確立	確立	was established	established	establish	164
抽出する	抽出	抽出	extracting	extracting	extract	164
変化させて	変化	変化	changing	changing	change	163
注目されて	注目	注目	is noticed	noticed	notice	163
促進した	促進	促進	promoted	promoted	promote	162
増悪した	増悪	増悪	exacerbated	exacerbated	exacerbate	161
作成した	作成	作成	was made	made	make	161
向上させた	向上	向上	improved	improved	improve	159
実施した	実施	実施	were performed	performed	perform	158
実施した	実施	実施	was performed	performed	perform	158
検討した	検討	検討	were studied	studied	study	158
検討した	検討	検討	was studied	studied	study	158
適用した	適用	適用	was applied	applied	apply	157
軽快した	軽快	軽快	was improved	improved	improve	157
切除した	切除	切除	resected	resected	resect	157
軽快した	軽快	軽快	were improved	improved	improve	157
応用する	応用	応用	applying	applying	apply	155
注目されている	注目	注目	is noticed	noticed	notice	155
紹介した	紹介	紹介	shown	shown	show	152
印加する	印加	印加	applying	applying	apply	151
判定した	判定	判定	judged	judged	judge	151
解決した	解決	解決	solved	solved	solve	149
提言した	提言	提言	proposed	proposed	propose	149
命名した	命名	命名	named	named	name	148
継続した	継続	継続	continued	continued	continue	148
軽減する	軽減	軽減	reduce	reduce	reduce	147
製造した	製造	製造	produced	produced	produce	147
改善した	改善	改善	was improved	improved	improve	145
改善した	改善	改善	were improved	improved	improve	145
証明した	証明	証明	proven	proven	prove	145
示唆した	示唆	示唆	was suggested	suggested	suggest	144
発生する	発生	発生	occur	occur	occur	143
観測された	観測	観測	was observed	observed	observe	142
反映している	反映	反映	reflects	reflects	reflect	142
作成した	作成	作成	produced	produced	produce	142
縮小した	縮小	縮小	reduced	reduced	reduce	141
命名した	命名	命名	named	named	name	140
発現していた	発現	発現	expressed	expressed	express	140
中止した	中止	中止	stopped	stopped	stop	139
商品化した	商品化	商品化	commercialized	commercialized	commercialize	139
施行した	施行	施行	were performed	performed	perform	138
施行した	施行	施行	was performed	performed	perform	138
存在して	存在	存在	exists	exists	exist	137
分布していた	分布	分布	distributed	distributed	distribute	134
解説した	解説	解説	were explained	explained	explain	133
解説した	解説	解説	was explained	explained	explain	133
発現していた	発現	発現	expressed	expressed	express	133
紹介した	紹介	紹介	shown	shown	show	133
解明した	解明	解明	elucidated	elucidated	elucidate	132
示唆した	示唆	示唆	was suggested	suggested	suggest	131
生成する	生成	生成	generating	generating	generate	131
応用して	応用	応用	applying	applying	apply	129
分布していた	分布	分布	distributed	distributed	distribute	129
推進する	推進	推進	promoting	promoting	promote	129
提言した	提言	提言	proposed	proposed	propose	128
再現した	再現	再現	reproduced	reproduced	reproduce	127
推定した	推定	推定	was estimated	estimated	estimate	125
推定した	推定	推定	were estimated	estimated	estimate	125
発生する	発生	発生	generating	generating	generate	125
維持された	維持	維持	maintained	maintained	maintain	122
製作した	製作	製作	produced	produced	produce	121
設置した	設置	設置	established	established	establish	120
研究した	研究	研究	were studied	studied	study	120
観測した	観測	観測	was observed	observed	observe	120
検討した	検討	検討	were studied	studied	study	120
検討した	検討	検討	was studied	studied	study	120
観測した	観測	観測	were observed	observed	observe	120
研究した	研究	研究	was studied	studied	study	120
誘導する	誘導	誘導	inducing	inducing	induce	119
提案した	提案	提案	suggested	suggested	suggest	119
させた			made	made	make	116
製作した	製作	製作	manufactured	manufactured	manufacture	116
生成された	生成	生成	generated	generated	generate	115
調節する	調節	調節	adjusting	adjusting	adjust	114
相互作用する	相互作用	相互作用	interacting	interacting	interact	113
完了した	完了	完了	finished	finished	finish	113
製作した	製作	製作	constructed	constructed	construct	113
形成して	形成	形成	forming	forming	form	113
作成した	作成	作成	was prepared	prepared	prepare	112
商品化した	商品化	商品化	commercialized	commercialized	commercialize	112
実施した	実施	実施	was performed	performed	perform	112
観察した	観察	観察	were observed	observed	observe	112
証明した	証明	証明	proven	proven	prove	112
実施した	実施	実施	were performed	performed	perform	112
作成した	作成	作成	were prepared	prepared	prepare	112
観察した	観察	観察	was observed	observed	observe	112
調整した	調整	調整	adjusted	adjusted	adjust	110
誘起する	誘起	誘起	induce	induce	induce	109
施行した	施行	施行	was performed	performed	perform	109
配置した	配置	配置	arranged	arranged	arrange	109
施行した	施行	施行	were performed	performed	perform	109
調製した	調製	調製	was prepared	prepared	prepare	107
形成される	形成	形成	is formed	formed	form	105
冷却した	冷却	冷却	cooled	cooled	cool	105
解説した	解説	解説	was explained	explained	explain	104
解説した	解説	解説	were explained	explained	explain	104
研究した	研究	研究	were studied	studied	study	104
達成した	達成	達成	was achieved	achieved	achieve	104
研究した	研究	研究	was studied	studied	study	104
統合した	統合	統合	integrated	integrated	integrate	102
達成した	達成	達成	attained	attained	attain	102
観測する	観測	観測	observing	observing	observe	101
判定した	判定	判定	judged	judged	judge	101
スクリーニングした	スクリーニング	スクリーニング	screened	screened	screen	101
選択する	選択	選択	choosing	choosing	choose	100
必要とした	必要と	必要と	needed	needed	need	100
検出した	検出	検出	was detected	detected	detect	100
総説した	総説	総説	reviewed	reviewed	review	100
提案した	提案	提案	suggested	suggested	suggest	100
総説した	総説	総説	reviewed	reviewed	review	98
調製した	調製	調製	was prepared	prepared	prepare	97
応用した	応用	応用	was applied	applied	apply	97
減少して	減少	減少	decreasing	decreasing	decrease	96
生産する	生産	生産	produce	produce	produce	96
